Hour,Load (kW)
1,4.6075
2,4.3425
3,4.3175
4,4.375
5,4.1875
6,4.045
7,4.3325
8,4.1175
9,4.09
10,3.9725
11,4.4075
12,3.96
13,3.725
14,3.7325
15,3.79
16,3.7975
17,3.83
18,3.72
19,3.945
20,3.995
21,4.6025
22,4.235
23,4.275
24,4.345
25,4.2225
26,4.4
27,4.355
28,4.06
29,4.11
30,4.2
31,4.5825
32,6.4175
33,7.7125
34,7.4425
35,7.42
36,7.9875
37,7.2525
38,7.2375
39,7.5975
40,7.38
41,6.39
42,5.49
43,4.715
44,4.91
45,5.135
46,5.0775
47,6.2475
48,5.2375
49,5.4375
50,4.79
51,4.41
52,4.41
53,4.4175
54,4.3475
55,4.4675
56,5.9625
57,7.6025
58,7.895
59,8.95
60,7.99
61,7.12
62,7.6325
63,7.69
64,7.5175
65,8.105
66,7.105
67,7.3675
68,6.7825
69,6.1775
70,7.86
71,7.27
72,6.5575
73,6.82
74,6.6975
75,6.1475
76,6.4875
77,6.0375
78,6.245
79,6.38
80,6.905
81,7.7775
82,7.435
83,6.2475
84,6.8475
85,7.255
86,7.3325
87,5.965
88,5.7075
89,5.5475
90,5.2725
91,6.0775
92,5.545
93,5.285
94,5.245
95,5.7475
96,5.27
97,5.2375
98,4.97
99,4.7575
100,4.81
101,4.82
102,4.9625
103,4.6875
104,5.98
105,7.1625
106,7.7575
107,6.995
108,8.1175
109,7.465
110,7.515
111,6.98
112,7.62
113,6.6175
114,5.16
115,6.095
116,5.9675
117,5.5075
118,5.3025
119,4.8575
120,5.04
121,4.54
122,4.615
123,4.6125
124,4.92
125,4.66
126,4.9875
127,4.7875
128,4.71
129,4.885
130,4.6075
131,4.995
132,5.1525
133,4.8225
134,4.52
135,4.3225
136,4.5725
137,6.0325
138,6.535
139,6.0225
140,5.9775
141,6.205
142,5.53
143,5.055
144,4.9175
145,5.0925
146,4.88
147,4.9725
148,4.995
149,4.775
150,4.5575
151,4.6725
152,4.69
153,5.355
154,6.49
155,5.43
156,4.9
157,4.8175
158,4.765
159,4.555
160,4.5775
161,4.4075
162,4.8575
163,4.5625
164,4.495
165,4.65
166,4.885
167,4.74
168,4.9525
169,4.885
170,4.8875
171,5.095
172,5.0025
173,5.1325
174,4.5475
175,4.63
176,5.145
177,7.88
178,8.7175
179,8.225
180,8.2425
181,8.7825
182,8.1225
183,8.3925
184,8.8075
185,7.805
186,5.52
187,4.5675
188,4.6775
189,4.465
190,4.5975
191,4.7425
192,4.8475
193,4.4925
194,4.14
195,3.875
196,3.7775
197,3.7675
198,3.8375
199,4.1
200,4.265
201,7.815
202,7.83
203,8.03
204,7.6425
205,7.78
206,7.9975
207,7.6675
208,8.2725
209,7.7625
210,5.4475
211,4.6925
212,4.4325
213,4.4325
214,4.485
215,4.895
216,5.87
217,4.82
218,4.8
219,4.86
220,4.585
221,4.8775
222,5.2975
223,4.9975
224,6.78
225,7.645
226,7.8925
227,8.725
228,7.99
229,7.9225
230,5.7675
231,5.5275
232,5.535
233,5.9025
234,5.65
235,5.2225
236,4.6425
237,4.3025
238,4.4425
239,4.395
240,4.3925
241,5.085
242,4.735
243,5.1075
244,4.6575
245,4.5625
246,4.5425
247,4.4525
248,6.1675
249,7.215
250,7.3875
251,7.37
252,6.77
253,6.7075
254,6.5675
255,7.315
256,7.9025
257,6.2575
258,4.245
259,4.66
260,4.3175
261,4.19
262,4.4475
263,4.395
264,4.35
265,4.9725
266,4.3075
267,4.495
268,4.365
269,4.665
270,4.3375
271,5.0775
272,6.075
273,7.76
274,8.385
275,7.605
276,7.505
277,7.0475
278,8.03
279,7.5475
280,8.54
281,8.2825
282,6.335
283,5.265
284,4.895
285,4.9575
286,5.4925
287,5.0325
288,5.17
289,5.2575
290,5.28
291,5.2775
292,5.1875
293,5.0175
294,5.205
295,5.1325
296,5.5
297,5.0125
298,4.8025
299,5.155
300,4.9775
301,5.195
302,4.83
303,4.885
304,5.4875
305,4.69
306,5.2325
307,4.8825
308,4.825
309,5.4275
310,4.86
311,5.495
312,4.9825
313,4.995
314,5.25
315,4.94
316,5.135
317,5.435
318,5.05
319,5.185
320,4.9
321,4.99
322,5.13
323,4.33
324,4.6625
325,4.6975
326,4.305
327,4.4525
328,4.3725
329,4.325
330,4.2175
331,4.265
332,5.2775
333,4.8575
334,4.7825
335,4.1975
336,4.3175
337,4.8475
338,4.4025
339,5.16
340,4.575
341,4.6625
342,4.8875
343,4.4225
344,4.7025
345,4.7275
346,4.85
347,4.7725
348,4.36
349,3.79
350,3.7375
351,3.81
352,3.665
353,3.8425
354,3.8675
355,4.59
356,4.67
357,4.2475
358,4.605
359,4.425
360,4.4525
361,4.9975
362,4.7475
363,4.64
364,4.695
365,4.6675
366,4.8425
367,4.405
368,5.3725
369,8.45
370,7.5425
371,8.2875
372,7.85
373,7.555
374,7.8375
375,8.485
376,8.1825
377,7.1625
378,4.995
379,4.33
380,4.62
381,4.805
382,5.0925
383,5.65
384,5.455
385,4.415
386,4.2675
387,4.205
388,4.165
389,4.085
390,4.1175
391,3.96
392,3.8075
393,3.745
394,4.6875
395,7.2025
396,6.7825
397,6.8725
398,6.275
399,5.6325
400,6.34
401,5.755
402,5.595
403,5.44
404,4.765
405,4.15
406,4.8875
407,5.8475
408,5.1675
409,4.7275
410,4.6775
411,4.44
412,4.825
413,4.7675
414,4.785
415,4.7375
416,6.6
417,7.9225
418,7.83
419,9.41
420,9.1925
421,9.51
422,8.97
423,9.86
424,10.78
425,10.205
426,7.8225
427,6.6675
428,5.6325
429,5.3175
430,5.8975
431,6.9225
432,6.85
433,5.7025
434,5.8725
435,5.475
436,5.4275
437,5.42
438,5.2725
439,5.54
440,6.9725
441,8.2825
442,8.1625
443,7.945
444,8.0775
445,7.4625
446,7.285
447,7.29
448,8.025
449,6.1575
450,4.735
451,6.2325
452,5.4475
453,5.37
454,4.9475
455,4.625
456,4.9925
457,4.6675
458,4.89
459,4.595
460,4.65
461,4.6325
462,4.9075
463,4.765
464,4.7075
465,4.6575
466,4.8525
467,4.5975
468,4.6175
469,4.5125
470,4.4925
471,4.58
472,4.34
473,4.125
474,4.2
475,4.1275
476,4.2825
477,4.7275
478,4.185
479,4.25
480,4.21
481,4.4875
482,4.7275
483,4.565
484,4.555
485,4.5825
486,4.6775
487,4.6525
488,4.535
489,4.5
490,4.1375
491,4.3325
492,4.325
493,4.275
494,4.2875
495,4.1675
496,4.21
497,4.0775
498,4.2825
499,4.2025
500,4.2825
501,4.4925
502,4.2475
503,4.7175
504,4.5175
505,4.625
506,4.39
507,4.5925
508,4.3875
509,4.2
510,4.14
511,4.165
512,5.845
513,6.955
514,7.25
515,6.9525
516,7.07
517,7.0275
518,6.96
519,7.39
520,7.7225
521,6.9075
522,4.765
523,4.345
524,4.9525
525,4.665
526,4.76
527,5.4475
528,5.055
529,4.3975
530,4.6675
531,4.4175
532,4.4925
533,4.4525
534,4.45
535,4.685
536,6.325
537,7.06
538,5.6375
539,6.1925
540,6.9225
541,6.6225
542,7.475
543,5.7825
544,6.2675
545,5.1625
546,4.54
547,3.77
548,3.52
549,3.72
550,3.9375
551,4.125
552,4.72
553,5.035
554,4.115
555,4.025
556,4.1275
557,4.08
558,4.1675
559,4.2425
560,4.825
561,7.4275
562,7.4425
563,6.68
564,5.8525
565,5.3175
566,6.5875
567,6.84
568,6.51
569,5.475
570,5.06
571,5.16
572,4.725
573,3.975
574,3.6325
575,3.6975
576,3.9675
577,5.4525
578,4.2275
579,4.115
580,4.33
581,4.0975
582,4.57
583,4.14
584,5.065
585,6.655
586,6.6925
587,6.205
588,5.89
589,5.7525
590,6.3625
591,6.505
592,6.6475
593,6.63
594,4.405
595,3.96
596,3.73
597,3.665
598,5.2775
599,4.5425
600,4.67
601,4.5325
602,4.4825
603,3.9125
604,3.7225
605,3.825
606,3.4475
607,3.5525
608,4.4725
609,4.775
610,3.39
611,3.2175
612,3.2525
613,3.38
614,3.8275
615,3.3025
616,3.5975
617,4.2225
618,4.3675
619,4.7075
620,4.745
621,4.405
622,4.7325
623,5.2575
624,4.6775
625,3.87
626,3.805
627,3.7575
628,3.825
629,3.7275
630,3.555
631,3.275
632,3.375
633,3.29
634,3.26
635,3.2925
636,3.4575
637,3.5525
638,3.7625
639,3.33
640,3.2525
641,3.315
642,3.3875
643,3.235
644,3.32
645,3.255
646,3.43
647,3.345
648,3.5075
649,3.655
650,3.4125
651,3.3625
652,3.2675
653,3.4
654,3.2775
655,3.4175
656,3.3125
657,3.3125
658,3.2625
659,3.395
660,4.0475
661,4.4825
662,4.9275
663,5.1525
664,4.7725
665,5.3775
666,4.6575
667,4.37
668,3.3075
669,3.38
670,3.3425
671,3.445
672,3.505
673,3.595
674,3.7925
675,3.8425
676,3.88
677,3.8075
678,3.645
679,3.5875
680,5.005
681,6.635
682,6.8425
683,7.01
684,6.7975
685,6.16
686,6.075
687,6.535
688,7.39
689,5.845
690,4.0275
691,3.6875
692,3.305
693,3.4025
694,3.4
695,3.55
696,3.57
697,3.8675
698,3.4575
699,3.4325
700,3.5175
701,3.395
702,3.4175
703,3.5875
704,5.8425
705,7.085
706,6.8675
707,6.2425
708,5.865
709,5.5925
710,5.95
711,6.0925
712,6.5825
713,5.8
714,3.8225
715,3.4475
716,3.36
717,3.79
718,3.895
719,4.555
720,3.6125
721,3.8125
722,3.4425
723,3.575
724,3.9225
725,3.875
726,3.69
727,3.8025
728,5.2575
729,5.8775
730,6.5075
731,6.335
732,6.515
733,6.265
734,6.0
735,4.645
736,5.3625
737,4.6325
738,3.825
739,4.5775
740,4.175
741,3.5775
742,3.6525
743,3.8325
744,4.21
745,4.3175
746,3.68
747,3.8725
748,3.8025
749,3.905
750,3.8125
751,3.825
752,4.56
753,6.55
754,6.76
755,6.9725
756,7.1525
757,6.45
758,6.715
759,6.6025
760,5.245
761,5.2125
762,4.69
763,4.6875
764,3.91
765,3.1775
766,3.72
767,3.5625
768,3.8175
769,3.7175
770,3.9675
771,3.7475
772,3.8475
773,3.6775
774,3.6875
775,3.855
776,5.4075
777,6.6875
778,6.17
779,5.8375
780,5.98
781,5.26
782,4.6925
783,4.2775
784,4.305
785,5.0975
786,3.5975
787,3.47
788,3.3425
789,3.5625
790,3.47
791,3.5025
792,3.7
793,3.8425
794,3.91
795,4.12
796,3.7275
797,3.7775
798,3.78
799,3.87
800,3.75
801,3.8825
802,3.735
803,3.685
804,3.7275
805,3.28
806,3.65
807,3.24
808,3.3725
809,3.2725
810,3.33
811,3.47
812,3.3625
813,3.4825
814,3.27
815,3.76
816,3.2875
817,3.355
818,3.5975
819,3.685
820,3.79
821,3.6575
822,3.8825
823,3.8075
824,3.67
825,4.1175
826,3.7975
827,3.4875
828,3.3575
829,3.2725
830,3.2825
831,3.2525
832,3.365
833,3.195
834,3.215
835,3.64
836,3.6225
837,3.5025
838,3.465
839,3.7525
840,3.72
841,4.35
842,4.085
843,3.8
844,3.845
845,4.2075
846,3.9
847,3.9675
848,4.97
849,7.6575
850,7.6975
851,6.69
852,6.795
853,6.795
854,7.1775
855,7.8075
856,7.0075
857,6.415
858,4.6375
859,4.0575
860,4.6225
861,5.0125
862,5.4175
863,4.88
864,5.26
865,4.91
866,4.54
867,4.245
868,4.2075
869,4.46
870,3.94
871,3.82
872,5.585
873,7.0925
874,6.3125
875,6.3775
876,6.3025
877,6.2825
878,6.915
879,6.845
880,7.2625
881,5.6825
882,3.995
883,4.005
884,4.085
885,3.9275
886,4.3375
887,4.8425
888,5.5575
889,5.2775
890,4.795
891,4.7175
892,4.525
893,4.63
894,4.97
895,5.0375
896,6.5925
897,7.7825
898,7.4525
899,8.0825
900,6.7975
901,7.3875
902,6.97
903,7.7275
904,8.02
905,6.9375
906,5.1125
907,4.89
908,5.3975
909,5.36
910,5.87
911,6.1325
912,5.7
913,5.0775
914,5.6025
915,4.9625
916,4.995
917,5.0925
918,5.8475
919,5.22
920,6.965
921,7.665
922,8.32
923,8.225
924,7.465
925,7.6375
926,7.52
927,7.825
928,7.0925
929,8.29
930,6.9175
931,6.69
932,6.47
933,6.7925
934,7.2575
935,7.6425
936,6.5475
937,6.4175
938,6.2075
939,6.12
940,6.355
941,6.0875
942,6.2325
943,6.025
944,7.2625
945,7.5275
946,8.115
947,6.8575
948,6.7175
949,5.725
950,6.0775
951,4.8775
952,5.7025
953,5.43
954,3.7975
955,3.4725
956,4.135
957,4.1925
958,4.42
959,4.175
960,4.235
961,4.765
962,3.9725
963,3.8625
964,3.96
965,4.2075
966,4.045
967,4.085
968,4.035
969,4.555
970,4.1425
971,3.87
972,3.7675
973,3.9175
974,3.8025
975,3.71
976,3.6475
977,4.1325
978,4.815
979,4.58
980,4.5825
981,5.15
982,4.8325
983,4.5125
984,4.0825
985,3.8025
986,4.02
987,4.1
988,3.9075
989,3.92
990,4.095
991,4.495
992,4.1025
993,3.8775
994,3.94
995,3.925
996,4.0075
997,3.635
998,3.755
999,3.365
1000,3.3725
1001,3.7625
1002,3.36
1003,3.4975
1004,3.45
1005,3.4675
1006,3.9525
1007,4.44
1008,4.2725
1009,4.2525
1010,4.01
1011,4.3975
1012,3.94
1013,3.9775
1014,4.2525
1015,4.1075
1016,5.5275
1017,7.7025
1018,7.645
1019,7.385
1020,8.1775
1021,9.045
1022,8.9825
1023,8.2425
1024,8.055
1025,7.58
1026,4.8925
1027,4.96
1028,5.045
1029,5.0325
1030,4.3525
1031,4.59
1032,4.5
1033,4.4075
1034,4.7125
1035,4.255
1036,4.2125
1037,4.505
1038,4.805
1039,4.4625
1040,5.8325
1041,7.9925
1042,9.67
1043,7.8025
1044,7.3275
1045,8.48
1046,9.06
1047,7.305
1048,7.1475
1049,7.2725
1050,5.04
1051,5.0675
1052,4.3575
1053,4.49
1054,5.485
1055,5.2775
1056,5.0525
1057,5.1225
1058,4.98
1059,4.64
1060,4.625
1061,4.6675
1062,4.99
1063,5.1325
1064,6.5225
1065,7.195
1066,7.3975
1067,8.89
1068,7.145
1069,6.5525
1070,6.955
1071,7.1575
1072,7.4725
1073,6.2675
1074,5.52
1075,5.825
1076,5.465
1077,5.2075
1078,5.375
1079,6.33
1080,4.5625
1081,4.255
1082,4.4175
1083,3.98
1084,4.045
1085,3.955
1086,4.0875
1087,4.24
1088,4.565
1089,4.3
1090,4.09
1091,4.0775
1092,4.465
1093,4.5525
1094,4.6025
1095,5.0575
1096,5.26
1097,4.7675
1098,4.5975
1099,4.7075
1100,5.03
1101,4.47
1102,4.1175
1103,4.4825
1104,4.115
1105,4.19
1106,4.1275
1107,3.97
1108,3.87
1109,3.9725
1110,4.345
1111,3.98
1112,6.1475
1113,9.625
1114,9.2675
1115,9.9325
1116,9.7325
1117,7.6925
1118,8.015
1119,7.1825
1120,7.38
1121,5.6925
1122,4.4475
1123,4.0775
1124,4.115
1125,3.855
1126,4.635
1127,4.8675
1128,4.12
1129,4.6825
1130,3.9525
1131,3.9225
1132,3.9625
1133,4.1375
1134,4.055
1135,4.0625
1136,4.5375
1137,4.99
1138,5.0175
1139,4.8225
1140,4.825
1141,4.99
1142,5.2125
1143,4.8525
1144,5.3475
1145,4.205
1146,4.14
1147,3.8525
1148,3.83
1149,3.8525
1150,3.9325
1151,4.6125
1152,4.4525
1153,4.13
1154,4.1975
1155,4.315
1156,4.0425
1157,3.87
1158,3.88
1159,3.9575
1160,4.0575
1161,4.0775
1162,4.1425
1163,4.5125
1164,4.315
1165,4.075
1166,3.935
1167,4.0025
1168,3.815
1169,3.7025
1170,3.95
1171,3.7675
1172,3.88
1173,3.8975
1174,4.3875
1175,4.5625
1176,4.435
1177,4.145
1178,3.835
1179,3.8375
1180,3.7
1181,3.7175
1182,4.0825
1183,3.8125
1184,3.76
1185,3.6175
1186,3.945
1187,4.4325
1188,4.755
1189,4.155
1190,4.555
1191,3.8775
1192,3.325
1193,3.3925
1194,3.32
1195,3.455
1196,3.535
1197,3.6825
1198,4.24
1199,4.315
1200,4.04
1201,3.6425
1202,3.765
1203,3.6775
1204,3.6825
1205,4.1125
1206,3.7525
1207,3.7875
1208,5.545
1209,7.6275
1210,8.28
1211,7.745
1212,7.4325
1213,7.3075
1214,7.9775
1215,7.215
1216,9.08
1217,6.74
1218,5.025
1219,4.22
1220,3.825
1221,3.6575
1222,3.6025
1223,5.145
1224,4.8425
1225,5.055
1226,4.26
1227,4.225
1228,4.1575
1229,4.6825
1230,4.47
1231,4.3775
1232,5.7275
1233,9.34
1234,9.9425
1235,9.43
1236,9.305
1237,8.7325
1238,8.54
1239,8.8425
1240,7.7875
1241,7.885
1242,6.0925
1243,5.6525
1244,5.5325
1245,5.985
1246,5.775
1247,5.3875
1248,4.9
1249,4.94
1250,5.075
1251,4.225
1252,4.4075
1253,4.5725
1254,4.395
1255,4.6825
1256,7.0825
1257,6.0525
1258,7.475
1259,9.05
1260,9.05
1261,8.685
1262,9.5575
1263,8.91
1264,8.7225
1265,7.42
1266,6.0575
1267,5.8575
1268,6.185
1269,5.195
1270,4.9375
1271,4.79
1272,4.6975
1273,5.2625
1274,4.79
1275,4.67
1276,4.455
1277,4.035
1278,4.125
1279,4.4
1280,5.4675
1281,6.6975
1282,7.3675
1283,8.885
1284,8.3275
1285,7.7675
1286,5.9775
1287,4.8775
1288,4.825
1289,4.72
1290,4.5675
1291,5.375
1292,5.575
1293,5.545
1294,6.375
1295,5.9975
1296,4.845
1297,4.64
1298,4.335
1299,4.19
1300,4.065
1301,3.9725
1302,4.1725
1303,4.5325
1304,4.3475
1305,4.8
1306,4.5525
1307,4.495
1308,4.13
1309,3.735
1310,4.02
1311,3.7175
1312,3.59
1313,3.9325
1314,4.1025
1315,3.74
1316,3.69
1317,3.73
1318,4.245
1319,4.595
1320,4.61
1321,5.03
1322,4.4675
1323,4.445
1324,4.1875
1325,4.17
1326,4.1675
1327,4.1075
1328,4.1075
1329,4.44
1330,4.2
1331,3.7775
1332,3.6275
1333,3.4975
1334,3.56
1335,3.4775
1336,3.385
1337,3.3775
1338,3.585
1339,4.89
1340,4.5175
1341,4.75
1342,4.4225
1343,4.5
1344,4.42
1345,4.6675
1346,4.24
1347,4.27
1348,4.3675
1349,4.405
1350,4.38
1351,4.8925
1352,6.3125
1353,8.1675
1354,8.1475
1355,7.745
1356,7.9525
1357,7.175
1358,7.515
1359,7.7875
1360,7.6525
1361,7.3525
1362,7.4125
1363,6.9075
1364,6.685
1365,6.85
1366,8.2075
1367,7.39
1368,7.2375
1369,7.1675
1370,7.5475
1371,7.2875
1372,7.45
1373,7.2825
1374,7.2675
1375,8.485
1376,9.21
1377,9.44
1378,10.07
1379,9.7175
1380,10.9775
1381,10.2425
1382,11.245
1383,10.0425
1384,10.58
1385,8.1675
1386,6.68
1387,7.1125
1388,7.03
1389,6.8325
1390,7.5075
1391,7.46
1392,7.1125
1393,6.9075
1394,6.5225
1395,6.4575
1396,6.37
1397,6.0525
1398,6.275
1399,7.255
1400,7.1825
1401,9.5125
1402,9.75
1403,9.275
1404,9.0975
1405,8.4075
1406,9.4175
1407,9.265
1408,9.08
1409,7.765
1410,6.8475
1411,7.6675
1412,6.7425
1413,5.95
1414,7.54
1415,6.8
1416,6.495
1417,5.505
1418,5.45
1419,5.6125
1420,5.72
1421,5.85
1422,5.54
1423,5.6175
1424,6.085
1425,8.585
1426,9.7575
1427,9.0675
1428,9.81
1429,8.6725
1430,8.1475
1431,8.2425
1432,6.295
1433,5.2225
1434,4.315
1435,4.555
1436,4.62
1437,4.61
1438,5.5625
1439,4.815
1440,4.7025
1441,4.295
1442,4.2175
1443,4.325
1444,4.095
1445,4.16
1446,4.3325
1447,4.675
1448,4.1575
1449,4.1725
1450,4.225
1451,4.1825
1452,4.28
1453,4.08
1454,4.01
1455,4.0425
1456,4.01
1457,4.5675
1458,4.3675
1459,4.09
1460,4.1475
1461,4.155
1462,4.02
1463,3.9675
1464,4.08
1465,4.14
1466,4.5225
1467,4.1175
1468,4.075
1469,4.1575
1470,4.2975
1471,4.01
1472,4.075
1473,4.395
1474,4.05
1475,4.2825
1476,4.3425
1477,4.2125
1478,4.2
1479,3.9175
1480,3.675
1481,4.125
1482,3.7575
1483,3.995
1484,3.865
1485,4.065
1486,4.115
1487,4.1325
1488,4.575
1489,4.07
1490,4.0975
1491,4.115
1492,4.155
1493,4.155
1494,4.1225
1495,4.4675
1496,5.6275
1497,9.175
1498,12.3225
1499,10.3875
1500,10.2625
1501,8.635
1502,8.38
1503,9.1975
1504,7.875
1505,7.2025
1506,5.6475
1507,5.6375
1508,5.9575
1509,6.0725
1510,5.925
1511,5.86
1512,5.97
1513,6.205
1514,6.1175
1515,6.0525
1516,6.7925
1517,6.0275
1518,6.365
1519,6.3575
1520,7.47
1521,10.7825
1522,10.4775
1523,10.0225
1524,9.7775
1525,7.2875
1526,6.74
1527,6.15
1528,5.6225
1529,6.3025
1530,5.805
1531,5.2125
1532,6.0875
1533,6.275
1534,6.4925
1535,7.0175
1536,6.5025
1537,6.4775
1538,6.4775
1539,6.28
1540,6.0825
1541,5.935
1542,6.4075
1543,6.61
1544,9.3725
1545,11.5125
1546,11.7075
1547,13.0525
1548,10.79
1549,9.88
1550,9.43
1551,9.38
1552,9.32
1553,8.29
1554,7.6325
1555,7.2175
1556,7.4275
1557,6.985
1558,6.67
1559,6.115
1560,6.89
1561,6.395
1562,6.705
1563,6.9975
1564,7.6925
1565,7.195
1566,7.0125
1567,7.4625
1568,8.0125
1569,10.39
1570,9.6975
1571,7.6325
1572,8.765
1573,8.105
1574,7.9475
1575,8.2075
1576,8.1525
1577,8.075
1578,5.9275
1579,6.31
1580,6.5025
1581,6.22
1582,6.0275
1583,6.005
1584,6.4125
1585,5.045
1586,4.9625
1587,4.8325
1588,4.89
1589,4.9475
1590,4.83
1591,4.9075
1592,6.305
1593,8.06
1594,8.4
1595,7.6075
1596,7.82
1597,7.2875
1598,7.1875
1599,6.475
1600,6.81
1601,5.7475
1602,4.01
1603,3.8225
1604,4.0
1605,4.13
1606,3.885
1607,4.6625
1608,5.315
1609,4.7625
1610,4.785
1611,4.425
1612,4.23
1613,4.6
1614,4.2975
1615,4.565
1616,4.1125
1617,4.19
1618,4.1275
1619,3.6575
1620,3.7375
1621,4.1525
1622,3.645
1623,3.515
1624,3.4275
1625,3.5475
1626,3.75
1627,3.705
1628,3.65
1629,4.3625
1630,4.2925
1631,4.8425
1632,4.65
1633,4.325
1634,4.26
1635,4.1925
1636,4.5925
1637,4.935
1638,4.2875
1639,4.5475
1640,4.795
1641,4.1025
1642,3.8625
1643,3.8425
1644,3.7125
1645,4.3025
1646,3.7675
1647,3.61
1648,3.64
1649,3.6625
1650,3.5925
1651,3.7175
1652,3.7175
1653,4.0975
1654,4.0675
1655,4.205
1656,4.725
1657,4.7475
1658,4.495
1659,4.5975
1660,5.11
1661,4.7725
1662,4.5825
1663,4.7625
1664,6.7075
1665,9.0025
1666,9.975
1667,9.755
1668,10.295
1669,9.1275
1670,8.7875
1671,8.8425
1672,9.515
1673,8.65
1674,6.6225
1675,5.9525
1676,5.86
1677,6.1475
1678,6.1125
1679,6.3375
1680,6.9825
1681,6.6725
1682,6.3275
1683,6.15
1684,6.23
1685,5.725
1686,5.86
1687,6.34
1688,8.16
1689,10.175
1690,10.605
1691,9.18
1692,8.61
1693,8.6
1694,7.395
1695,6.7575
1696,7.6675
1697,6.3525
1698,4.4575
1699,4.0525
1700,4.3125
1701,4.775
1702,5.71
1703,6.535
1704,5.8675
1705,5.6
1706,4.8275
1707,4.86
1708,5.24
1709,4.74
1710,4.7725
1711,5.0025
1712,7.3325
1713,10.0625
1714,10.385
1715,8.8625
1716,8.8225
1717,8.0425
1718,7.95
1719,7.7175
1720,6.92
1721,5.695
1722,5.6875
1723,5.4925
1724,5.3075
1725,4.8425
1726,5.5175
1727,5.3025
1728,4.3525
1729,4.5075
1730,4.125
1731,4.5025
1732,4.2725
1733,4.3425
1734,4.3825
1735,4.4225
1736,7.16
1737,8.9925
1738,9.23
1739,9.9275
1740,9.0175
1741,7.5975
1742,8.765
1743,7.59
1744,6.375
1745,5.35
1746,5.085
1747,5.29
1748,5.6525
1749,5.4975
1750,5.335
1751,5.795
1752,5.335
1753,4.865
1754,5.0325
1755,5.0
1756,4.9425
1757,4.4125
1758,4.7525
1759,4.5
1760,6.515
1761,9.52
1762,10.71
1763,8.155
1764,6.985
1765,6.2175
1766,5.575
1767,4.665
1768,7.015
1769,5.6775
1770,4.995
1771,4.495
1772,5.0525
1773,3.765
1774,4.1425
1775,4.585
1776,4.59
1777,4.6475
1778,3.9225
1779,3.9425
1780,3.7425
1781,3.32
1782,3.2975
1783,3.545
1784,3.8825
1785,3.3325
1786,3.4
1787,3.485
1788,4.14
1789,3.7975
1790,4.64
1791,4.1575
1792,5.26
1793,4.3175
1794,4.275
1795,4.76
1796,4.1625
1797,4.4075
1798,3.9225
1799,4.15
1800,3.9775
1801,3.9325
1802,3.98
1803,4.1025
1804,3.7925
1805,3.535
1806,3.455
1807,3.405
1808,3.5075
1809,3.2775
1810,3.445
1811,4.735
1812,3.98
1813,3.5675
1814,3.9375
1815,4.4225
1816,3.9325
1817,4.045
1818,3.725
1819,3.6175
1820,3.2325
1821,3.0925
1822,4.0925
1823,4.4025
